date,STRONG_BUY_count_5d,STRONG_BUY_hit_rate_5d,STRONG_BUY_avg_return_5d,STRONG_BUY_count_10d,STRONG_BUY_hit_rate_10d,STRONG_BUY_avg_return_10d,STRONG_BUY_count_20d,STRONG_BUY_hit_rate_20d,STRONG_BUY_avg_return_20d,BUY_count_5d,BUY_hit_rate_5d,BUY_avg_return_5d,BUY_count_10d,BUY_hit_rate_10d,BUY_avg_return_10d,BUY_count_20d,BUY_hit_rate_20d,BUY_avg_return_20d,HOLD_count_5d,HOLD_hit_rate_5d,HOLD_avg_return_5d,HOLD_count_10d,HOLD_hit_rate_10d,HOLD_avg_return_10d,HOLD_count_20d,HOLD_hit_rate_20d,HOLD_avg_return_20d,SELL_count_5d,SELL_hit_rate_5d,SELL_avg_return_5d,SELL_count_10d,SELL_hit_rate_10d,SELL_avg_return_10d,SELL_count_20d,SELL_hit_rate_20d,SELL_avg_return_20d,idx_momentum_3d,idx_momentum_5d,idx_momentum_10d
2025-04-02,2,100.0,75.61718745549392,2,100.0,67.06096670335512,2,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,210,90.0,-3.8887343706004023,210,90.47619047619048,-4.899089671567426,210,0.0,,,,
2025-04-01,2,100.0,71.51886966080292,2,100.0,67.16395839071707,2,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,210,83.80952380952381,-2.4075443496315585,210,88.09523809523809,-3.9733392284623337,210,0.0,,,,
2025-03-31,2,100.0,63.61827338858855,2,100.0,59.45084901627489,2,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,210,98.09523809523809,-5.2303162164147645,210,97.61904761904762,-6.013243036942881,210,0.0,,,,
2025-03-28,2,100.0,69.94274801818513,2,100.0,66.66062428476334,2,0.0,,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,210,89.04761904761904,-2.812526444206467,210,81.9047619047619,-3.0426471889599704,210,0.0,,,,
2025-03-27,5,100.0,5.328509084580245,5,100.0,4.26988890214107,5,0.0,,48,81.25,0.8538206640819027,48,72.91666666666666,1.7268473228100805,48,0.0,,110,6.363636363636363,-1.483767583406309,110,27.27272727272727,-0.8951562623352407,110,0.0,,49,100.0,-5.053630798691349,49,91.83673469387756,-3.894506049065506,49,0.0,,,,
2025-03-26,5,100.0,6.37111883246538,5,100.0,6.64674759543793,5,0.0,,18,100.0,3.3409710024879025,18,94.44444444444444,4.061563185495943,18,0.0,,137,29.1970802919708,-0.7634860672041774,137,49.63503649635037,0.08931023479143377,137,0.0,,52,98.07692307692307,-4.149064241435974,52,90.38461538461539,-2.5669286534053293,52,0.0,,,,
2025-03-25,3,100.0,8.616789829054442,3,100.0,7.066481981199324,3,0.0,,35,94.28571428571428,2.1290598501823714,35,94.28571428571428,3.1929613202268077,35,0.0,,137,16.78832116788321,-1.558187417047622,137,48.9051094890511,0.04194328700091502,137,0.0,,37,100.0,-6.046383484452397,37,86.48648648648648,-2.739134007657655,37,0.0,,,,
2025-03-24,9,100.0,5.582978292630873,9,100.0,5.417673979896207,9,0.0,,73,79.45205479452055,1.0085405537703562,73,72.6027397260274,1.5572997069987962,73,0.0,,121,2.479338842975207,-1.9678529341492133,121,30.57851239669421,-1.06710429142969,121,0.0,,9,100.0,-7.0704281692398565,9,100.0,-5.1661019205165095,9,0.0,,,,
2025-03-21,3,100.0,9.453089068292712,3,100.0,11.06027360174695,3,0.0,,42,100.0,3.039190630194235,42,95.23809523809523,3.481097167710346,42,0.0,,140,36.42857142857142,-0.651871737675919,140,42.857142857142854,-0.23188864904493758,140,0.0,,27,100.0,-4.267736582454821,27,88.88888888888889,-3.695947709600453,27,0.0,,,,
2025-03-20,8,100.0,7.0674226206261626,8,100.0,7.581299393238225,8,0.0,,23,100.0,4.3315445882949675,23,91.30434782608695,3.73232047813022,23,0.0,,67,97.01492537313433,1.777896687397265,67,71.64179104477611,0.9322467365289585,67,0.0,,114,81.57894736842105,-0.9712854357275241,114,88.59649122807018,-2.2299575259501707,114,0.0,,,,
2025-03-19,5,60.0,5.675398326642427,5,100.0,27.43189938779131,5,0.0,,33,96.96969696969697,4.098470231725144,33,87.87878787878788,4.205224661130336,33,0.0,,142,72.53521126760563,0.9828479657824118,142,50.70422535211267,0.015767407877726444,142,0.0,,32,100.0,-2.526447415267519,32,84.375,-2.6060619028111276,32,0.0,,,,
2025-03-18,2,50.0,7.561110441202307,2,100.0,36.207095424028424,2,0.0,,12,100.0,7.424106261911162,12,100.0,10.117778767945886,12,0.0,,57,98.24561403508771,4.082683294035061,57,96.49122807017544,4.361669800860882,57,0.0,,141,31.20567375886525,0.37154878367366767,141,48.93617021276596,0.21488650921317246,141,0.0,,,,
2025-03-17,5,100.0,6.923306783493457,5,100.0,31.075322713496426,5,0.0,,24,100.0,6.174218480424059,24,95.83333333333334,5.426326969533814,24,0.0,,100,89.0,1.3981304682005535,100,73.0,1.3493755262896412,100,0.0,,83,91.56626506024097,-1.8105338429483426,83,77.10843373493977,-1.8318488179241317,83,0.0,,,,
